,SP500,Div,Earning,CPI,Rate10y,TB3MS,gold,bondTR,eqTR,gldTR,tbTR,cpiTR
1982-08-01,109.7,6.83667,13.7633,97.7,0.1306,0.0868,350.0,1.0613108856611058,1.0079356897821714,1.1290322580645162,1.0094583333333333,1.0020512820512821
1982-09-01,122.4,6.85,13.56,97.9,0.1234,0.07919999999999999,375.0,1.0522439058885051,1.120433953612844,1.0714285714285714,1.0072333333333334,1.0020470829068577
1982-10-01,132.7,6.85667,13.2533,98.2,0.1091,0.0771,405.0,1.0973310843205644,1.0884561984376768,1.08,1.0066,1.003064351378958
1982-11-01,138.1,6.86333,12.9467,98.0,0.10550000000000001,0.08070000000000001,390.0,1.0313334416590618,1.044834814986501,0.9629629629629629,1.006425,0.9979633401221996
1982-12-01,139.4,6.87,12.64,97.6,0.1054,0.0794,420.0,1.0094097494049137,1.0135203551581882,1.0769230769230769,1.006725,0.9959183673469387
1983-01-01,144.3,6.88333,12.5667,97.8,0.10460000000000001,0.0786,450.0,1.0137444017589852,1.0391257726742305,1.0714285714285714,1.0066166666666667,1.0020491803278688
1983-02-01,146.8,6.89667,12.4933,97.9,0.1072,0.08109999999999999,480.0,0.9927655499078407,1.0212400207310117,1.0666666666666667,1.00655,1.0010224948875257
1983-03-01,151.9,6.91,12.42,97.9,0.1051,0.08349999999999999,475.0,1.0219291965952506,1.0385320156013536,0.9895833333333334,1.0067583333333334,1.0
1983-04-01,157.7,6.92,12.4767,98.6,0.10400000000000001,0.0821,425.0,1.0155967934280001,1.041839747333466,0.8947368421052632,1.0069583333333334,1.0071501532175688
1983-05-01,164.1,6.93,12.5333,99.2,0.1038,0.0819,440.0,1.0099110553011492,1.0441025817887155,1.035294117647059,1.0068416666666666,1.0060851926977687
1983-06-01,166.4,6.94,12.59,99.5,0.1085,0.08789999999999999,415.0,0.9799692478682503,1.0174914048949986,0.9431818181818182,1.006825,1.003024193548387
1983-07-01,167.0,6.96,12.8267,99.9,0.11380000000000001,0.0908,410.0,0.9773934618301154,1.0070788231229848,0.9879518072289156,1.007325,1.0040201005025127
1983-08-01,162.4,6.98,13.0633,100.2,0.1185,0.0934,415.0,0.9819475277944637,0.9760367811175679,1.0121951219512195,1.0075666666666667,1.003003003003003
1983-09-01,167.2,7.0,13.3,100.7,0.1165,0.09,415.0,1.02168748648871,1.0330454859719833,1.0,1.0077833333333333,1.0049900199600799
