Date,SP500,Div,Earning,CPI,Rate10y,cpiTR,eqTR,bondTR
1882-04-15,5.78,0.32,0.4367,10.37091074,0.036225,1.0092611568146619,1.0046136101499423,1.0029481471863368
1882-05-15,5.71,0.32,0.4358,10.46599504,0.03623333333333333,1.009168365477611,0.9925594426500381,1.0029488443680767
1882-06-15,5.68,0.32,0.435,10.56116033,0.036241666666666665,1.0090928086279698,0.9994408952254096,1.002949541549669
1882-07-15,6.0,0.32,0.4342,10.46599504,0.03625,0.9909891255291642,1.0607824726134587,1.002950238731114
1882-08-15,6.18,0.32,0.4333,10.56116033,0.03625833333333334,1.0090928086279698,1.0343149946062569,1.0029509359124114
1882-09-15,6.24,0.32,0.4325,10.27574545,0.03626666666666667,0.9729750452524377,1.013982242137582,1.0029516330935617
1882-10-15,6.07,0.32,0.4317,10.18058017,0.036275,0.9907388441585033,0.9771496008110505,1.0029523302745647
1882-11-15,5.81,0.32,0.4308,10.08541488,0.036283333333333334,0.990652272423488,0.9617561798145747,1.0029530274554201
1882-12-15,5.84,0.32,0.43,9.990330579,0.036291666666666667,0.9905720982100045,1.0097297212332697,1.0029537246361284
1883-01-15,5.81,0.3208,0.4275,9.990330579,0.0363,1.0,0.9994642758902537,1.0029544218166895
1883-02-15,5.68,0.3217,0.425,10.08541488,0.036291666666666667,1.009517633100137,0.9823445618490056,1.0030948864749827
1883-03-15,5.75,0.3225,0.4225,9.990330579,0.036283333333333334,0.9905720982100045,1.0169978567054503,1.0030941947668022
1883-04-15,5.87,0.3233,0.42,9.895165289,0.036275,0.9904742601611161,1.0254592869663977,1.0030935030587687
1883-05-15,5.77,0.3242,0.4175,9.8,0.03626666666666667,0.9903826478668538,0.9876464894591755,1.0030928113508828
1883-06-15,5.82,0.325,0.415,9.514585124,0.03625833333333334,0.9708760330612244,1.0133190049650502,1.0030921196431442
1883-07-15,5.73,0.3258,0.4125,9.324254545,0.03625,0.9799959140078635,0.9892743023695149,1.003091427935553
1883-08-15,5.47,0.3267,0.41,9.324254545,0.036241666666666665,1.0,0.9596019299303514,1.0030907362281087
1883-09-15,5.53,0.3275,0.4075,9.229089256,0.03623333333333333,0.9897937911775444,1.0159041233182697,1.0030900445208122
1883-10-15,5.38,0.3283,0.405,9.229089256,0.036225,1.0,0.9779604181091758,1.003089352813663
1883-11-15,5.46,0.3292,0.4025,9.134004959,0.03621666666666667,0.9896973260998442,1.0198943085002565,1.0030886611066612
1883-12-15,5.34,0.33,0.4,9.229089256,0.036208333333333335,1.0104099239519582,0.9831717907560604,1.0030879693998067
1884-01-15,5.18,0.3283,0.3925,9.229089256,0.0362,1.0,0.9753189847150521,1.0030872776930997
1884-02-15,5.32,0.3267,0.385,9.229089256,0.036116666666666665,1.0,1.0321445082300347,1.0037161063413778
1884-03-15,5.3,0.325,0.3775,9.229089256,0.036033333333333334,1.0,1.001350664396841,1.0037094358992547
1884-04-15,5.06,0.3233,0.37,9.038839669,0.035949999999999996,0.979385876360843,0.9600414211847764,1.0037027656047175
1884-05-15,4.65,0.3217,0.3625,8.848509091,0.03586666666666667,0.9789430297505148,0.9247375649907208,1.003696095457857
1884-06-15,4.46,0.32,0.355,8.848509091,0.035783333333333334,1.0,0.9651188581898837,1.0036894254587643
1884-07-15,4.46,0.3183,0.3475,8.753424793,0.035699999999999996,0.9892542012420248,1.0059473094170404,1.0036827556075292
1884-08-15,4.74,0.3167,0.34,8.753424793,0.035616666666666665,1.0,1.0683481312242593,1.0036760859042424
1884-09-15,4.59,0.315,0.3325,8.658259504,0.03553333333333333,0.9891282222386714,0.9740733846281128,1.0036694163489954
1884-10-15,4.44,0.3133,0.325,8.563094215,0.03545,0.9890087275674706,0.9732005166931639,1.0036627469418788
1884-11-15,4.35,0.3117,0.3175,8.372844628,0.03536666666666667,0.9777826119597354,0.9857009940975457,1.0036560776829833
1884-12-15,4.34,0.31,0.31,8.277679339,0.03528333333333333,0.9886340553028117,1.0036535303776684,1.0036494085724001
1885-01-15,4.24,0.3042,0.3067,8.277679339,0.0352,1.0,0.9829372989305278,1.00364273961022
1885-02-15,4.37,0.2983,0.3033,8.372844628,0.035074999999999995,1.0114966145827406,1.036348783155592,1.0039876463347752
1885-03-15,4.38,0.2925,0.3,8.18251405,0.03495,0.977268110605623,1.0078533980126014,1.003977850422517
1885-04-15,4.37,0.2867,0.2967,8.277679339,0.034825,1.0116303239344882,1.00318409558739,1.0039680550123509
1885-05-15,4.32,0.2808,0.2933,8.087381157,0.034699999999999995,0.9770106844917974,0.9939750190694127,1.0039582601047392
1885-06-15,4.3,0.275,0.29,7.897091074,0.034575,0.9764707413554641,1.0006998277347112,1.003948465700145
1885-07-15,4.46,0.2692,0.2867,7.992232066,0.03445,1.0120475996931626,1.0422391976917997,1.0039386717990317
1885-08-15,4.71,0.2633,0.2833,7.992232066,0.034325,1.0,1.060712339613899,1.0039288784018634
1885-09-15,4.65,0.2575,0.28,7.897091074,0.0342,0.9880958171366493,0.9918758418373171,1.0039190855091038
1885-10-15,4.92,0.2517,0.2767,7.897091074,0.034075,1.0,1.0623277275111458,1.0039092931212183
1885-11-15,5.24,0.2458,0.2733,7.992232066,0.03395000000000001,1.0120475996931626,1.0689496834853847,1.0038995012386716
1885-12-15,5.2,0.24,0.27,8.18251405,0.033825,1.0238083657267016,0.9962125660598943,1.00388970986193
1886-01-15,5.2,0.2383,0.275,7.992232066,0.0337,0.9767452908925955,1.0038189102564103,1.003879918991459
1886-02-15,5.3,0.2367,0.28,7.992232066,0.033825,1.0,1.0229524673439767,1.0017477901380702
1886-03-15,5.19,0.235,0.285,7.897091074,0.03395000000000001,0.9880958171366493,0.9830185649713408,1.0017588320946615
1886-04-15,5.12,0.2333,0.29,7.801941983,0.034075,0.9879513747393309,0.9903097246056117,1.0017698735454486
1886-05-15,5.02,0.2317,0.295,7.611651901,0.0342,0.9756099080953651,0.9843150315405046,1.001780914490896
1886-06-15,5.25,0.23,0.3,7.51650281,0.034325,0.9874995477673514,1.049467526718523,1.00179195493147
1886-07-15,5.33,0.2283,0.305,7.611651901,0.03445,1.0126586916023517,1.0188075136245869,1.0018029948676348
1886-08-15,5.37,0.2267,0.31,7.706792893,0.034575,1.012499388206061,1.0110226916729845,1.001814034299855
1886-09-15,5.51,0.225,0.315,7.706792893,0.034699999999999995,1.0,1.0294736673121831,1.0018250732285943
1886-10-15,5.65,0.2233,0.32,7.706792893,0.034825,1.0,1.0287018587818342,1.001836111654316
1886-11-15,5.79,0.2217,0.325,7.706792893,0.03495,1.0,1.027969607348648,1.001847149577483
1886-12-15,5.64,0.22,0.33,7.801941983,0.035074999999999995,1.0123461329921584,0.977343855265253,1.0018581869985583
1887-01-15,5.58,0.2225,0.3325,7.992232066,0.0352,1.0243900920328082,0.9926845814586035,1.0018692239180031
1887-02-15,5.54,0.225,0.335,8.087381157,0.035324999999999995,1.011905196222314,0.9962160177529341,1.0018802603362795
1887-03-15,5.67,0.2275,0.3375,8.087381157,0.03545,1.0,1.026809325370296,1.0018912962538484
